epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.0829,0.99966,3.37109,1.53107,0.03077,0.90987,0.28617,0.19187,0.8638,3.58379,1.30524,0.00013332,0.00013332,0.00013332
2,88.1213,0.79766,2.34621,1.35306,0.00569,0.95866,0.31696,0.18554,0.94849,3.58224,1.38984,0.000275459,0.000275459,0.000275459
3,97.5621,0.79762,1.91378,1.36112,0.00822,0.95866,0.33905,0.21572,1.09865,3.4337,1.53943,0.000415214,0.000415214,0.000415214
4,108.625,0.76481,1.66311,1.30073,0.71608,0.17544,0.42976,0.2505,1.03447,3.09374,1.51141,0.000552586,0.000552586,0.000552586
5,119.391,0.85568,1.6647,1.36126,0.58251,0.31866,0.36707,0.19584,1.272,2.95389,1.67405,0.000687576,0.000687576,0.000687576
6,129.001,0.76066,1.47099,1.26527,0.75115,0.15789,0.2953,0.16125,1.41541,3.01959,1.84691,0.000820182,0.000820182,0.000820182
7,140.343,0.89184,1.70132,1.3708,0.22853,0.04995,0.13752,0.08025,1.35225,3.13391,1.76472,0.000950405,0.000950405,0.000950405
8,149.067,0.86088,1.4914,1.33738,0.15935,0.21513,0.13474,0.07034,1.47887,3.16236,1.90115,0.00104684,0.00104684,0.00104684
9,160.413,0.90219,1.43263,1.37133,0.72916,0.04375,0.06533,0.03679,2.77997,4.15467,4.48298,0.00103767,0.00103767,0.00103767
10,169.682,0.78451,1.27057,1.30523,0.20105,0.07752,0.10091,0.05801,1.31269,3.7516,1.70458,0.00102851,0.00102851,0.00102851
11,181.288,0.80699,1.25809,1.32743,0.32809,0.36404,0.21799,0.12612,1.443,3.11106,1.84182,0.00101934,0.00101934,0.00101934
12,190.931,0.81892,1.23685,1.34076,0.3066,0.24025,0.19379,0.1112,1.51139,3.15906,1.94389,0.00101018,0.00101018,0.00101018
13,201.669,0.79552,1.18236,1.28616,0.27788,0.33212,0.24307,0.13085,1.89563,5.94118,2.42533,0.00100101,0.00100101,0.00100101
14,212.665,0.80319,1.17534,1.29037,0.43544,0.28037,0.26081,0.14382,1.8175,3.13016,2.36386,0.000991845,0.000991845,0.000991845
15,221.558,0.79019,1.1125,1.27879,0.49394,0.27171,0.29307,0.14938,1.78754,2.87287,2.25182,0.000982679,0.000982679,0.000982679
16,234.081,0.79197,1.17895,1.29906,0.39965,0.35709,0.30703,0.17216,1.43583,2.8667,1.72119,0.000973514,0.000973514,0.000973514
17,242.573,0.79495,1.08013,1.35491,0.53866,0.38158,0.38454,0.22418,1.64702,2.75733,1.90289,0.000964348,0.000964348,0.000964348
